start station name,counts
W 25 St & 6 Ave,2272
W 26 St & 10 Ave,958
W 26 St & 8 Ave,1736
W 27 St & 7 Ave,2609
W 29 St & 9 Ave,1580
W 31 St & 7 Ave,1215
W 33 St & 7 Ave,2892
W 34 St & 11 Ave,1156
W 37 St & 10 Ave,1634
W 37 St & 5 Ave,2355
W 38 St & 8 Ave,2361
W 39 St & 9 Ave,2577
W 4 St & 7 Ave S,2795
W 41 St & 8 Ave,3409
W 42 St & 8 Ave,1784
W 43 St & 10 Ave,2390
W 43 St & 6 Ave,867
W 44 St & 5 Ave,1537
W 45 St & 6 Ave (1),1900
W 45 St & 8 Ave,498
W 46 St & 11 Ave,1706
W 47 St & 10 Ave,1995
W 49 St & 8 Ave,2994
W 51 St & 6 Ave,1899
W 52 St & 11 Ave,1986
W 52 St & 5 Ave,1851
W 52 St & 9 Ave,1671
W 53 St & 10 Ave,1390
W 54 St & 9 Ave,1549
W 56 St & 10 Ave,1849
W 56 St & 6 Ave,2996
W 59 St & 10 Ave,2236
W Broadway & Spring St,2754
Warren St & Church St,1576
Washington Ave & Greene Ave,365
Washington Ave & Park Ave,568
Washington Park,551
Washington Pl & 6 Ave,2004
Washington Pl & Broadway,1904
Washington Square E,2297
Washington St & Gansevoort St,2516
Water - Whitehall Plaza,1429
Watts St & Greenwich St,2116
West St & Chambers St,4529
West Thames St,4800
William St & Pine St,1517
Willoughby Ave & Hall St,619
Willoughby Ave & Walworth St,506
Willoughby St & Fleet St,432
Wythe Ave & Metropolitan Ave,1381
York St & Jay St,1657
