end station name,counts
W 52 St & 5 Ave,1997
W 52 St & 9 Ave,1424
W 53 St & 10 Ave,1343
W 54 St & 9 Ave,1291
W 56 St & 10 Ave,1814
W 56 St & 6 Ave,3058
W 59 St & 10 Ave,2373
W Broadway & Spring St,2775
Warren St & Church St,1610
Washington Ave & Greene Ave,300
Washington Ave & Park Ave,571
Washington Park,456
Washington Pl & 6 Ave,1828
Washington Pl & Broadway,1732
Washington Square E,2257
Washington St & Gansevoort St,2399
Water - Whitehall Plaza,1362
Watts St & Greenwich St,2044
West St & Chambers St,4470
West Thames St,4871
William St & Pine St,1391
Willoughby Ave & Hall St,509
Willoughby Ave & Walworth St,509
Willoughby St & Fleet St,402
Wythe Ave & Metropolitan Ave,1527
York St & Jay St,1690
